"unidade";"ti_id";"tabela_convenio";"codigo_procedimento";"preco_tabela";"descricao";"procedimento_generico";"especialidade"
olinda;589442;TABELA HAPVIDA;"81000030";10.0000;CONSULTA ODONTOLÓGICA;CONSULTA ODONTOLOGICA;Diagnostico
olinda;589443;TABELA HAPVIDA;"81000049";21.0000;Consulta de Urgência;URGENCIA ODONTOLOGICA;Diagnostico
olinda;589444;TABELA HAPVIDA;"81000057";52.5000;Consulta de Urgência Noturna;URGENCIA ODONTOLOGICA;Diagnostico
olinda;589445;TABELA HAPVIDA;"85200034";21.0000;Abertura coronaria odontalgia aguda/pulpectomia/necrose ;PULPOTOMIA;Odontopediatria
olinda;589446;TABELA HAPVIDA;"85400467";21.0000;Recimentacao Protetica;RECIMENTACAO DE TRABALHOS PROTETICOS;Protese
olinda;589447;TABELA HAPVIDA;"82001650";21.0000;Tratamento de Alveolite;TRATAMENTO DE ALVEOLITE;Periodontia
olinda;589448;TABELA HAPVIDA;"85100048";21.0000;Colagem de fragmento;COLAGEM DE FRAGMENTOS DENTARIOS;Urgencia
olinda;589449;TABELA HAPVIDA;"82000484";21.0000;Controle hemorragia s/aplicação hemost. região bucomaxilofacial;CONTROLE DE HEMORRAGIA;Cirurgia e Traumatologia Buco
olinda;589450;TABELA HAPVIDA;"82001022";21.0000;Incisão e drenagem de abcesso extra oral;INCISAO E DRENAGEM EXTRA ORAL DE ABSCESSO, HEMATOMA E/OU FLEGMAO DA REGIAO BUCO-MAXILO-FACIAL;Cirurgia e Traumatologia Buco
olinda;589451;TABELA HAPVIDA;"82001030";21.0000;Incisão e drenagem de abcesso intra oral;INCISAO E DRENAGEM INTRA ORAL DE ABSCESSO, HEMATOMA E/OU FLEGMAO DA REGIAO BUCO-MAXILO-FACIAL;Cirurgia e Traumatologia Buco
olinda;589452;TABELA HAPVIDA;"82001251";22.5000;Reimplante de dente avulsionado;REIMPLANTE DENTARIO COM CONTENCAO;Implantodontia
olinda;589453;TABELA HAPVIDA;"85200085";22.5000;Curativo - Reastauração provisória;CURATIVO DE DEMORA;Dentistica
olinda;589459;TABELA HAPVIDA;"84000074";12.0000;Aplicação de Selante;APLICACAO DE SELANTE DE FOSSULAS E FISSURAS;Odontopediatria
olinda;589460;TABELA HAPVIDA;"84000031";7.2000;Aplicação de Cariostático;APLICACAO DE CARIOSTATICO;Prevencao
olinda;589461;TABELA HAPVIDA;"85100080";15.0000;Adequação do meio bucal;ADEQUACAO DO MEIO BUCAL;Dentistica
olinda;589462;TABELA HAPVIDA;"84000112";9.0000;Remineralização dentária (Fluoterapia);REMINERALIZACAO;Prevencao
olinda;589463;TABELA HAPVIDA;"84000244";17.2500;Teste de fluxo salivar;TESTE DE FLUXO SALIVAR;Prevencao
olinda;589464;TABELA HAPVIDA;"81000014";12.0000;Condicionamento em Odontologia ;CONDICIONAMENTO EM ODONTOLOGIA;Odontopediatria
olinda;589465;TABELA HAPVIDA;"83000020";81.0000;Reabilitação com coroa de acetato aço ou policarbonato;COROA DE ACETATO EM DENTE DECIDUO;Protese
olinda;589466;TABELA HAPVIDA;"83000089";22.5000;EXODONTIA SIMPLES DE DECÍDUO;EXODONTIA DE DECIDUOS;Odontopediatria
olinda;589467;TABELA HAPVIDA;"83000127";22.5000;Pulpotomia;PULPOTOMIA;Odontopediatria
olinda;589468;TABELA HAPVIDA;"83000151";;Tratamento Endodôntico em dente decíduo;TRATAMENTO ENDODONTICO EM DENTE DECIDUO;Odontopediatria
olinda;589469;TABELA HAPVIDA;"82000875";32.0000;Exodontia simples de permanente;EXODONTIA DE PERMANENTE;Cirurgia e Traumatologia Buco
olinda;589470;TABELA HAPVIDA;"82000859";41.2500;Exodontia de Raiz Residual;EXODONTIA DE RAIZ RESIDUAL;Cirurgia e Traumatologia Buco
olinda;589471;TABELA HAPVIDA;"82000816";41.2500;Exodontia a Retalho;EXODONTIA A RETALHO;Cirurgia e Traumatologia Buco
olinda;589472;TABELA HAPVIDA;"82001073";64.4000;Hemissecção com e sem amputação radicular;ODONTO-SECCAO;Periodontia
olinda;589473;TABELA HAPVIDA;"82001170";21.0000;Fratura alvéolo dentária/redução cruenta;ALVEOLOPLASTIA;Periodontia
olinda;589474;TABELA HAPVIDA;"82001189";21.0000;Fratura alvéolo dentária/redução incruenta;ALVEOLOPLASTIA;Periodontia
olinda;589475;TABELA HAPVIDA;"82000883";51.7500;Frenectomia Labial;FRENULECTOMIA;Periodontia
olinda;589476;TABELA HAPVIDA;"82000905";45.0000;Frenectomia Lingual;FRENULECTOMIA;Periodontia
